Rule Name   Rule Context
Sentence    A sentence should start with a capital letter and end with a period, question mark, or exclamation mark.    sentence
Active Voice    Use the active voice in most sentences, but the passive voice can be used selectively to deemphasize the subject.   quote
Lists   Separate items in a list with commas. sentence
Semicolon   Combine two independent clauses with a semicolon when the clauses are closely related.  sentence
Colon   Place a colon before a list or explanation. sentence
Quote   Enclose direct speech or quoted text in quotation marks.    quote
Apostrophes Use apostrophes to indicate possession or create contractions.  possessive or contraction
Subject Verb    Ensure subject-verb agreement in sentences. sentence
Pronoun Ensure pronoun-antecedent agreement in sentences.   sentence
Verb tense  Use the correct verb tense in sentences.    sentence, time
Parallel    Use parallel structure in lists and comparisons. list, comparison
Modifiers   Place modifiers correctly, keeping them close to the word they modify. adjective, adverb
Personification Use "who" for people and "that" for things. sentence, personification
Object  Use "whom" for the object of a verb or preposition. sentence, direct object, indirect object
Commas  Use commas to separate items in a list, after introductory phrases, and to separate non-essential information. sentence, list, introduction 
Capitalization  Capitalize proper nouns, the first word of a sentence, and titles. sentence, title, proper noun
Syntax  Capitalizationonstruct clear and concise sentences by following the subject-verb-object order. sentence, syntax
Tense   Use appropriate verb tenses to indicate the time of an action or event. sentence, time, tense
Punctuation  Use punctuation marks correctly to clarify meaning and structure. sentence, punctuation
Contractions  Use contractions to create a more conversational tone, but avoid them in formal writing. sentence, contraction
Hyphen  Use hyphens to connect words in compound adjectives or to clarify meaning. sentence, hyphen
Ellipsis  Use ellipses to indicate omitted text or a trailing off of thought. sentence, ellipsis
Exclamation  Use exclamation marks sparingly to convey strong emotion or emphasis. sentence, exclamation
Question  Use question marks to indicate direct questions. sentence, question
